short name,reference product,ecoinvent name,sector,direct process
"natural gas, onshore","natural gas, high pressure","petroleum and gas production, onshore",hydrogen and gases,
"natural gas, offshore","natural gas, high pressure","petroleum and gas production, offshore",hydrogen and gases,
"biomethane, amine scrubbing","biomethane, from biogas upgrading, using amine scrubbing","biomethane production, from biogas upgrading, using amine scrubbing",hydrogen and gases,
"biogas, biowaste","biogas","treatment of biowaste by anaerobic digestion",hydrogen and gases,
"biogas, sewage sludge","biogas","treatment of sewage sludge by anaerobic digestion",hydrogen and gases,
"biogas, used vegetable cooking oil","biogas","treatment of used vegetable cooking oil by anaerobic digestion",hydrogen and gases,
"lignite briquettes","lignite briquettes","lignite briquettes production",solids,
"hard coal briquettes","hard coal briquettes","hard coal briquettes production",solids,
"wood pellets","wood pellet, measured as dry mass","wood pellet production",solids,
"softwood chips","wood chips, wet, measured as dry mass","wood chips production, softwood, at sawmill",solids,
"hardwood chips","wood chips, wet, measured as dry mass","wood chips production, hardwood, at sawmill",solids,
coke,"coke","coking",solids,
petroleum coke,"petroleum coke","petroleum coke production, petroleum refinery operation",solids,
charcoal,"charcoal","charcoal production",solids,
peat,"peat","peat production",solids,
"hydrogen, methane pyrolysis","hydrogen, gaseous, 100 bar","hydrogen production, gaseous, 100 bar, from methane pyrolysis",hydrogen and gases,
"hydrogen, woody biomass","hydrogen, gaseous, 25 bar","hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, at gasification plant",hydrogen and gases,
"hydrogen, woody biomass, CCS","hydrogen, gaseous, 25 bar","hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, with CCS, at gasification plant",hydrogen and gases,
"hydrogen, water splitting","hydrogen, gaseous, 25 bar","hydrogen production, gaseous, 25 bar, from thermochemical water splitting, at solar tower",hydrogen and gases,
"hydrogen, hard coal","hydrogen, gaseous, 30 bar","hydrogen production, gaseous, 30 bar, from hard coal gasification and reforming, at coal gasification plant",hydrogen and gases,
"hydrogen, hard coal, CCS","hydrogen, gaseous, 30 bar","hydrogen production, gaseous, 30 bar, from hard coal gasification and reforming, with CCS, at coal gasification plant",hydrogen and gases,
"hydrogen, PEM electrolysis","hydrogen, gaseous, 30 bar","hydrogen production, gaseous, 30 bar, from PEM electrolysis, from grid electricity",hydrogen and gases,
"hydrogen, PEM electrolysis, VRE","hydrogen, gaseous, 30 bar","hydrogen production, gaseous, 30 bar, from PEM electrolysis, VRE inputs",hydrogen and gases,
"hydrogen, natural gas","hydrogen, gaseous, 25 bar","hydrogen production, steam methane reforming of natural gas, 25 bar",hydrogen and gases,
"hydrogen, natural gas, CCS","hydrogen, gaseous, 25 bar","hydrogen production, steam methane reforming of natural gas, with CCS (MDEA, 98% eff.), 25 bar",hydrogen and gases,
"hydrogen, biomethane","hydrogen, gaseous, 26 bar","hydrogen production, steam methane reforming, from biomethane, high and low temperature, 26 bar",hydrogen and gases,
