name,categories,amount,code,ecoinvent name
"Particulate Matter, < 2.5 um",air::non-urban air or from high stacks,4.5e-05,66f50b33-fd62-4fdd-a373-c5b0de7de00d,"heavy fuel oil production, petroleum refinery operation"
"Particulate Matter, > 10 um",air::non-urban air or from high stacks,6.43e-05,7678cec7-b8e1-439d-8242-99cd452834b1,"heavy fuel oil production, petroleum refinery operation"
"Particulate Matter, > 2.5 um and < 10um",air::non-urban air or from high stacks,5.14e-05,295c9740-6fdb-4676-9eb8-15e3786f713d,"heavy fuel oil production, petroleum refinery operation"
Selenium IV,air::non-urban air or from high stacks,8.84e-09,e6551223-73b6-4289-b841-c5cdeb25abd9,"heavy fuel oil production, petroleum refinery operation"
Sulfur dioxide,air::non-urban air or from high stacks,0.001165911,78c3efe4-421c-4d30-82e4-b97ac5124993,"heavy fuel oil production, petroleum refinery operation"
Zinc II,air::non-urban air or from high stacks,2.03e-08,ada3ecfe-8244-4389-bcce-e83ca4f66e09,"heavy fuel oil production, petroleum refinery operation"
Copper ion,water::ocean,1.65e-09,d8f9ccf6-fd32-4348-83c0-1cee724af9ae,"heavy fuel oil production, petroleum refinery operation"
"Fungicides, unspecified",water::ocean,1.58e-10,79c4520a-47b1-4ec1-a1e5-b52114b0dce6,"heavy fuel oil production, petroleum refinery operation"
"Hydrocarbons, unspecified",water::ocean,4.55e-07,049a1473-3a62-4121-982b-5d15d0f2c683,"heavy fuel oil production, petroleum refinery operation"
Thiocyanate,water::ocean,2.64e-11,53225326-6737-4c40-86d4-87893525fd1a,"heavy fuel oil production, petroleum refinery operation"
Tributyltin compounds,water::ocean,2.42e-10,f4498c00-c870-40fb-a2b3-49b6f522d324,"heavy fuel oil production, petroleum refinery operation"
Cadmium II,air::lower stratosphere + upper troposphere,2.12e-10,dd1bbaa1-d1f1-4584-aeb2-6f02bfb04e87,"kerosene production, petroleum refinery operation"
Cadmium II,air::non-urban air or from high stacks,2.06e-11,e2d58f90-9aac-4ac4-87f7-bbd6cfc358e3,"kerosene production, petroleum refinery operation"
"Carbon dioxide, fossil",air::lower stratosphere + upper troposphere,0.066068584,16eeda8a-1ea2-408e-ab37-2648495058dd,"kerosene production, petroleum refinery operation"
"Carbon dioxide, fossil",air::non-urban air or from high stacks,0.006412036,aa7cac3a-3625-41d4-bc54-33e2cf11ec46,"kerosene production, petroleum refinery operation"
"Carbon monoxide, fossil",air::lower stratosphere + upper troposphere,4.96e-05,a3beb5ac-5149-47f6-a035-53fc5030f10a,"kerosene production, petroleum refinery operation"
"Carbon monoxide, fossil",air::non-urban air or from high stacks,4.82e-06,099b36ab-4c03-4587-87f4-2f81e337afb8,"kerosene production, petroleum refinery operation"
Chromium III,air::lower stratosphere + upper troposphere,1.06e-09,2a5ed451-12a2-47db-b4dc-fa0bfbc01d79,"kerosene production, petroleum refinery operation"
Chromium III,air::non-urban air or from high stacks,1.03e-10,4d40d8e3-9bc7-4ab1-ac5c-4f4a76fda8e5,"kerosene production, petroleum refinery operation"
Copper ion,air::lower stratosphere + upper troposphere,3.6e-08,3573a5af-88f8-4f74-ade7-cd269cbc4e66,"kerosene production, petroleum refinery operation"
Copper ion,air::non-urban air or from high stacks,3.5e-09,e336eee7-148a-4d1c-8027-780cbfafa12b,"kerosene production, petroleum refinery operation"
Lead II,air::lower stratosphere + upper troposphere,4.24e-07,fe4613d7-1ed8-427d-9b06-c8e8f4f5e1b1,"kerosene production, petroleum refinery operation"
Lead II,air::non-urban air or from high stacks,4.11e-08,2718482b-8399-442e-b89a-52fbcc22d2e6,"kerosene production, petroleum refinery operation"
Mercury II,air::lower stratosphere + upper troposphere,1.48e-12,48aa661d-be05-4c24-94fe-8d6feb3dcb31,"kerosene production, petroleum refinery operation"
Mercury II,air::non-urban air or from high stacks,1.44e-13,5ec9c16a-959d-44cd-be7d-a935727d2151,"kerosene production, petroleum refinery operation"
"NMVOC, non-methane volatile organic compounds",air::lower stratosphere + upper troposphere,4.93e-06,36c96aed-9335-4564-8cdd-46f01a13700c,"kerosene production, petroleum refinery operation"
"NMVOC, non-methane volatile organic compounds",air::non-urban air or from high stacks,4.78e-07,33b38ccb-593b-4b11-b965-10d747ba3556,"kerosene production, petroleum refinery operation"
