First Author§Year of Publication§Title§Target§Country§Central Estimate ($2018)§Unit§DOI or URL
Epstein, P.R.§2011§Full cost accounting for the life cycle of coal§Coal§USA§20.886 §US¢/kWh§10.1111/j.1749-6632.2010.05890.x
Parfomak, P.W.§1997§Falling generation costs, environmental externalities and the economics of electricity conservation§Coal§USA§8.962 §US¢/kWh§10.1016/S0301-4215(97)00075-X
Parfomak, P.W.§1997§Falling generation costs, environmental externalities and the economics of electricity conservation§Gas§USA§2.282 §US¢/kWh§10.1016/S0301-4215(97)00075-X
Parfomak, P.W.§1997§Falling generation costs, environmental externalities and the economics of electricity conservation§Gas§USA§2.830 §US¢/kWh§10.1016/S0301-4215(97)00075-X
Lee, K.§2018§Measuring Nuclear Power Plant Negative Externalities through the Life Satisfaction Approach: The Case of Ulsan City§Nuclear§KOR§2.620 §US¢/kWh§https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3167680
Lee, S.H.§2016§Integrated framework for the external cost assessment of nuclear power plant accident considering risk aversion: The Korean case§Nuclear§KOR§0.005 §US¢/kWh§10.1016/j.enpol.2016.01.035
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Gas§AUT§4.572 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Biomass Power§AUT§2.909 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Hydro§AUT§-0.511 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Coal§BEL§10.687 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Gas§BEL§3.859 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Nuclear§BEL§0.511 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Coal§DEU§9.203 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Lignite§DEU§10.925 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Gas§DEU§3.919 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Oil§DEU§12.112 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Nuclear§DEU§0.677 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Biomass Power§DEU§3.503 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Wind§DEU§0.099 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§PV§DEU§0.546 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§PV§DEU§0.487 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Gas§DNK§5.165 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Biomass Power§DNK§1.081 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Wind§DNK§0.249 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Wind§DNK§0.184 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Coal§ESP§12.171 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Gas§ESP§3.859 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Biomass Power§ESP§8.550 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Wind§ESP§0.261 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Waste Incineration§ESP§10.034 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
