source name,impact category,estimate,LCIA method,valuation approach,MVC,currency,reference year,impact unit
MMG2014 (Western Europe),metal/mineral resources,max,"CML v4.8 2016, material resources: metals/minerals, abiotic depletion potential (ADP): elements (ultimate reserves)",market price,6.23,Euro,2012,kg Sb eq
MMG2014 (Western Europe),human toxicity: carcinogenic,min,"EF v3.1, human toxicity: carcinogenic, comparative toxic unit for human (CTUh)",damage cost,1.66277e+05,Euro,2012,CTUh
MMG2014 (Western Europe),human toxicity: carcinogenic,central,"EF v3.1, human toxicity: carcinogenic, comparative toxic unit for human (CTUh)",damage cost,6.65109e+05,Euro,2012,CTUh
MMG2014 (Western Europe),human toxicity: carcinogenic,max,"EF v3.1, human toxicity: carcinogenic, comparative toxic unit for human (CTUh)",damage cost,2.660434e+06,Euro,2012,CTUh
MMG2014 (Western Europe),human toxicity: non-carcinogenic,min,"EF v3.1, human toxicity: non-carcinogenic, comparative toxic unit for human (CTUh)",damage cost,2.8816e+04,Euro,2012,CTUh
MMG2014 (Western Europe),human toxicity: non-carcinogenic,central,"EF v3.1, human toxicity: non-carcinogenic, comparative toxic unit for human (CTUh)",damage cost,1.44081e+05,Euro,2012,CTUh
MMG2014 (Western Europe),human toxicity: non-carcinogenic,max,"EF v3.1, human toxicity: non-carcinogenic, comparative toxic unit for human (CTUh)",damage cost,7.27407e+05,Euro,2012,CTUh
MMG2014 (Western Europe),particulate matter formation,min,"ReCiPe 2016 v1.03, midpoint (H), particulate matter formation, particulate matter formation potential (PMFP)",damage cost,1.27e+01,Euro,2012,kg PM2.5 eq
MMG2014 (Western Europe),particulate matter formation,central,"ReCiPe 2016 v1.03, midpoint (H), particulate matter formation, particulate matter formation potential (PMFP)",damage cost,3.4e+01,Euro,2012,kg PM2.5 eq
MMG2014 (Western Europe),particulate matter formation,max,"ReCiPe 2016 v1.03, midpoint (H), particulate matter formation, particulate matter formation potential (PMFP)",damage cost,8.5e+01,Euro,2012,kg PM2.5 eq
MMG2014 (Western Europe),ionizing radiation,min,"EF v3.1, ionising radiation: human health, human exposure efficiency relative to u235",damage cost,3.2e-04,Euro,2012,kBq U235 eq
MMG2014 (Western Europe),ionizing radiation,central,"EF v3.1, ionising radiation: human health, human exposure efficiency relative to u235",damage cost,9.7e-04,Euro,2012,kBq U235 eq
MMG2014 (Western Europe),ionizing radiation,max,"EF v3.1, ionising radiation: human health, human exposure efficiency relative to u235",damage cost,2.9e-03,Euro,2012,kBq U235 eq
MMG2014 (Western Europe),ecotoxicity: freshwater,min,"EF v3.1, ecotoxicity: freshwater, comparative toxic unit for ecosystems (CTUe)",contingent valuation,7.39e-06,Euro,2012,CTUe
MMG2014 (Western Europe),ecotoxicity: freshwater,central,"EF v3.1, ecotoxicity: freshwater, comparative toxic unit for ecosystems (CTUe)",contingent valuation,3.7e-05,Euro,2012,CTUe
MMG2014 (Western Europe),ecotoxicity: freshwater,max,"EF v3.1, ecotoxicity: freshwater, comparative toxic unit for ecosystems (CTUe)",contingent valuation,1.85e-04,Euro,2012,CTUe
MMG2014 (Western Europe),water use,min,"ReCiPe 2016 v1.03, midpoint (H), water use, water consumption potential (WCP)",market price,2.2e-02,Euro,2012,m3
MMG2014 (Western Europe),water use,central,"ReCiPe 2016 v1.03, midpoint (H), water use, water consumption potential (WCP)",market price,6.7e-02,Euro,2012,m3
MMG2014 (Western Europe),water use,max,"ReCiPe 2016 v1.03, midpoint (H), water use, water consumption potential (WCP)",market price,2.0e-01,Euro,2012,m3
Giunta et al (2018),ecotoxicity: freshwater,central,"ReCiPe 2016 v1.03, midpoint (H), ecotoxicity: freshwater, freshwater ecotoxicity potential (FETP)",prevention cost,5.7e+01,Euro,2019,kg 1-4 DB eq
Giunta et al (2018),metal/mineral resources,central,"ReCiPe Midpoint (H) V1.13, metal depletion, MDP",prevention cost,3.63e-02,Euro,2019,kg Fe eq
Kaenchan and Gheewala (2017),ecotoxicity: freshwater,central,"ReCiPe 2016 v1.03, midpoint (H), ecotoxicity: freshwater, freshwater ecotoxicity potential (FETP)",budget constraint,1.34e-03,Euro,2019,kg 1-4 DB eq
Kaenchan and Gheewala (2017),metal/mineral resources,central,"ReCiPe Midpoint (H) V1.13, metal depletion, MDP",budget constraint,6.01e-02,Euro,2019,kg Fe eq
Schneider-Marin and Lang (2020),climate change,min,"IPCC 2021, climate change, GWP 100a, incl. H and bio CO2",abatement cost,2.11e-02,Euro,2019,kg CO2 eq
Schneider-Marin and Lang (2020),climate change,max,"IPCC 2021, climate change, GWP 100a, incl. H and bio CO2",damage cost,6.85e-01,Euro,2019,kg CO2 eq
Schneider-Marin and Lang (2020),ozone depletion,min,"CML v4.8 2016, ozone depletion, ozone layer depletion (ODP steady state)",prevention cost,0.0,Euro,2019,kg CFC-11 eq
Schneider-Marin and Lang (2020),ozone depletion,max,"CML v4.8 2016, ozone depletion, ozone layer depletion (ODP steady state)",prevention cost,3.16e+01,Euro,2019,kg CFC-11 eq
Schneider-Marin and Lang (2020),photochemical oxidant formation,min,"CML v4.8 2016, photochemical oxidant formation, photochemical oxidation (high NOx)",damage cost,2.95e-01,Euro,2019,kg ethylene eq
Schneider-Marin and Lang (2020),photochemical oxidant formation,max,"CML v4.8 2016, photochemical oxidant formation, photochemical oxidation (high NOx)",prevention cost,1.06e+01,Euro,2019,kg ethylene eq
Schneider-Marin and Lang (2020),acidification,min,"CML v4.8 2016, acidification, acidification (incl. fate, average Europe total, A&B)",damage cost,1.87,Euro,2019,kg SO2 eq
Schneider-Marin and Lang (2020),acidification,max,"CML v4.8 2016, acidification, acidification (incl. fate, average Europe total, A&B)",damage cost,1.59e+01,Euro,2019,kg SO2 eq
Schneider-Marin and Lang (2020),eutrophication,min,"CML v4.8 2016, eutrophication, eutrophication (fate not incl.)",damage cost,1.88,Euro,2019,kg PO4 eq
Schneider-Marin and Lang (2020),eutrophication,max,"CML v4.8 2016, eutrophication, eutrophication (fate not incl.)",damage cost,1.67e+01,Euro,2019,kg PO4 eq
Schneider-Marin and Lang (2020),fossil resources,central,"CML v4.8 2016, energy resources: non-renewable, abiotic depletion potential (ADP): fossil fuels",market price,1.76e-02,Euro,2019,MJ
Schneider-Marin and Lang (2020),metal/mineral resources,central,"CML v4.8 2016, material resources: metals/minerals, abiotic depletion potential (ADP): elements (ultimate reserves)",market price,1.92e+01,Euro,2019,kg Sb eq
Ecovalue 2012,climate change,min,"IPCC 2021, climate change, GWP 100a, incl. H and bio CO2",damage cost,1.14e-02,Euro,2019,kg CO2 eq
Ecovalue 2012,climate change,central,"IPCC 2021, climate change, GWP 100a, incl. H and bio CO2",damage cost,3.26e-01,Euro,2019,kg CO2 eq
Ecovalue 2012,climate change,max,"IPCC 2021, climate change, GWP 100a, incl. H and bio CO2",damage cost,6.4e-01,Euro,2019,kg CO2 eq
Ecovalue 2012,photochemical oxidant formation,min,"ReCiPe Midpoint (H) V1.13, photochemical oxidant formation, POFP",contingent valuation,1.1e+01,Euro,2019,kg NMVOC eq
Ecovalue 2012,photochemical oxidant formation,central,"ReCiPe Midpoint (H) V1.13, photochemical oxidant formation, POFP",contingent valuation,2.1e+01,Euro,2019,kg NMVOC eq
Ecovalue 2012,photochemical oxidant formation,max,"ReCiPe Midpoint (H) V1.13, photochemical oxidant formation, POFP",contingent valuation,3.2e+01,Euro,2019,kg NMVOC eq
Ecovalue 2012,fossil resources,min,"EF v3.1, energy resources: non-renewable, abiotic depletion potential (ADP): fossil fuels",market price,4.6e-04,Euro,2019,MJ
Ecovalue 2012,fossil resources,central,"EF v3.1, energy resources: non-renewable, abiotic depletion potential (ADP): fossil fuels",market price,1.4e-02,Euro,2019,MJ
Ecovalue 2012,fossil resources,max,"EF v3.1, energy resources: non-renewable, abiotic depletion potential (ADP): fossil fuels",market price,2.7e-02,Euro,2019,MJ
Ecovalue 2012,human toxicity,min,"ReCiPe Midpoint (H) V1.13, human toxicity, HTPinf",damage cost,2.3e-03,Euro,2019,kg 1-4 DB eq
Ecovalue 2012,human toxicity,central,"ReCiPe Midpoint (H) V1.13, human toxicity, HTPinf",damage cost,3.2e-01,Euro,2019,kg 1-4 DB eq
Ecovalue 2012,human toxicity,max,"ReCiPe Midpoint (H) V1.13, human toxicity, HTPinf",damage cost,5.6e-01,Euro,2019,kg 1-4 DB eq
Ecovalue 2012,eutrophication: marine,central,"ReCiPe Midpoint (H) V1.13, marine eutrophication, MEP",contingent valuation,1.03e+01,Euro,2019,kg N eq
Ecovalue 2012,eutrophication: freshwater,central,"ReCiPe Midpoint (H) V1.13, freshwater eutrophication, FEP",contingent valuation,7.66e+01,Euro,2019,kg P eq
Ecovalue 2012,ecotoxicity: marine,central,"ReCiPe Midpoint (H) V1.13, marine ecotoxicity, METPinf",contingent valuation,1.4,Euro,2019,kg 1-4 DB eq
Ecovalue 2012,acidification,central,"ReCiPe Midpoint (H) V1.13, terrestrial acidification, TAP100",contingent valuation,3.4,Euro,2019,kg SO2 eq
Ecovalue 2012,particulate matter formation,central,"ReCiPe Midpoint (H) V1.13, particulate matter formation, PMFP",damage cost,3.12e+01,Euro,2019,kg PM10 eq
"Cao et al 2015",land use,Thailand,"ReCiPe 2016 v1.03, midpoint (H), land use, agricultural land occupation (LOP)",abatement cost,8.59e-02,Euro,2015,m2*a crop Eq
"Cao et al 2015",land use,Brazil,"ReCiPe 2016 v1.03, midpoint (H), land use, agricultural land occupation (LOP)",abatement cost,6.21e-02,Euro,2015,m2*a crop Eq
"Cao et al 2015",land use,Italy,"ReCiPe 2016 v1.03, midpoint (H), land use, agricultural land occupation (LOP)",abatement cost,7.90e-02,Euro,2015,m2*a crop Eq
"Cao et al 2015",land use,US,"ReCiPe 2016 v1.03, midpoint (H), land use, agricultural land occupation (LOP)",abatement cost,1.17e-01,Euro,2015,m2*a crop Eq
"Ligthart et al, abatement",water use,central,"ReCiPe 2016 v1.03, midpoint (H), water use, water consumption potential (WCP)",abatement cost,15.8,Euro,2019,m3
"Ligthart et al, damage",water use,central,"ReCiPe 2016 v1.03, midpoint (H), water use, water consumption potential (WCP)",damage cost,2.38,Euro,2023,m3
