source name,impact category,estimate,LCIA method,valuation approach,MVC,currency,reference year,impact unit
"Environmental prices, 2018, EU",ionizing radiation,max,"ReCiPe Midpoint (H) V1.13, ionising radiation, IRP_HE",damage cost,5.98e-02,Euro,2015,kg kBq U235 eq
"Environmental prices, 2018, EU",acidification,min,"ReCiPe Midpoint (H) V1.13, terrestrial acidification, TAP100",damage cost,5.26e-01,Euro,2015,kg SO2 eq
"Environmental prices, 2018, EU",acidification,central,"ReCiPe Midpoint (H) V1.13, terrestrial acidification, TAP100",damage cost,4.97,Euro,2015,kg SO2 eq
"Environmental prices, 2018, EU",acidification,max,"ReCiPe Midpoint (H) V1.13, terrestrial acidification, TAP100",damage cost,5.66,Euro,2015,kg SO2 eq
"Environmental prices, 2018, EU",eutrophication: freshwater,min,"ReCiPe Midpoint (H) V1.13, freshwater eutrophication, FEP",damage cost,2.5e-01,Euro,2015,kg P eq
"Environmental prices, 2018, EU",eutrophication: freshwater,central,"ReCiPe Midpoint (H) V1.13, freshwater eutrophication, FEP",damage cost,1.86,Euro,2015,kg P eq
"Environmental prices, 2018, EU",eutrophication: freshwater,max,"ReCiPe Midpoint (H) V1.13, freshwater eutrophication, FEP",damage cost,2.11,Euro,2015,kg P eq
"Environmental prices, 2018, EU",eutrophication: marine,central,"ReCiPe Midpoint (H) V1.13, marine eutrophication, MEP",abatement cost,3.11,Euro,2015,kg N eq
"Environmental prices, 2018, EU",land use,min,"ReCiPe Midpoint (H) V1.13, agricultural land occupation, ALOP",damage cost,2.55e-02,Euro,2015,m2*year
"Environmental prices, 2018, EU",land use,central,"ReCiPe Midpoint (H) V1.13, agricultural land occupation, ALOP",damage cost,8.45e-02,Euro,2015,m2*year
"Environmental prices, 2018, EU",land use,max,"ReCiPe Midpoint (H) V1.13, agricultural land occupation, ALOP",damage cost,6.85e-01,Euro,2015,m2*year
"Environmental prices, 2018, EU",ecotoxicity: terrestrial,min,"ReCiPe Midpoint (H) V1.13, terrestrial ecotoxicity, TETPinf",damage cost,1.17,Euro,2015,kg 1-4 DB eq
"Environmental prices, 2018, EU",ecotoxicity: terrestrial,central,"ReCiPe Midpoint (H) V1.13, terrestrial ecotoxicity, TETPinf",damage cost,8.69,Euro,2015,kg 1-4 DB eq
"Environmental prices, 2018, EU",ecotoxicity: terrestrial,max,"ReCiPe Midpoint (H) V1.13, terrestrial ecotoxicity, TETPinf",damage cost,9.85,Euro,2015,kg 1-4 DB eq
"Environmental prices, 2018, EU",ecotoxicity: freshwater,min,"ReCiPe Midpoint (H) V1.13, freshwater ecotoxicity, FETPinf",damage cost,4.85e-03,Euro,2015,kg 1-4 DB eq
"Environmental prices, 2018, EU",ecotoxicity: freshwater,central,"ReCiPe Midpoint (H) V1.13, freshwater ecotoxicity, FETPinf",damage cost,3.61e-02,Euro,2015,kg 1-4 DB eq
"Environmental prices, 2018, EU",ecotoxicity: freshwater,max,"ReCiPe Midpoint (H) V1.13, freshwater ecotoxicity, FETPinf",damage cost,4.09e-02,Euro,2015,kg 1-4 DB eq
"Environmental prices, 2018, EU",ecotoxicity: marine,min,"ReCiPe Midpoint (H) V1.13, marine ecotoxicity, METPinf",damage cost,9.92e-04,Euro,2015,kg 1-4 DB eq
