fuel name,fuel unit,name,amount,unit,categories,type
"coal FT diesel, HDV",MJ,Sulfur dioxide,3.79e-07,kilogram,air::urban air close to ground,biosphere
"coal FT diesel, HDV",MJ,Toluene,1.99e-10,kilogram,air::urban air close to ground,biosphere
"coal FT diesel, HDV",MJ,Zinc II,4.04e-08,kilogram,air::urban air close to ground,biosphere
"coal FT diesel, HDV",MJ,m-Xylene,1.95e-08,kilogram,air::urban air close to ground,biosphere
"coal FT diesel, HDV",MJ,o-Xylene,7.96e-09,kilogram,air::urban air close to ground,biosphere
"kerosene, aircraft",MJ,Cadmium II,2.12e-10,kilogram,air::lower stratosphere + upper troposphere,biosphere
"kerosene, aircraft",MJ,Cadmium II,2.06e-11,kilogram,air::non-urban air or from high stacks,biosphere
"kerosene, aircraft",MJ,"Carbon dioxide, fossil",0.066068584,kilogram,air::lower stratosphere + upper troposphere,biosphere
"kerosene, aircraft",MJ,"Carbon dioxide, fossil",0.006412036,kilogram,air::non-urban air or from high stacks,biosphere
"kerosene, aircraft",MJ,"Carbon monoxide, fossil",4.96e-05,kilogram,air::lower stratosphere + upper troposphere,biosphere
"kerosene, aircraft",MJ,"Carbon monoxide, fossil",4.82e-06,kilogram,air::non-urban air or from high stacks,biosphere
"kerosene, aircraft",MJ,Chromium III,1.06e-09,kilogram,air::lower stratosphere + upper troposphere,biosphere
"kerosene, aircraft",MJ,Chromium III,1.03e-10,kilogram,air::non-urban air or from high stacks,biosphere
"kerosene, aircraft",MJ,Copper ion,3.6e-08,kilogram,air::lower stratosphere + upper troposphere,biosphere
"kerosene, aircraft",MJ,Copper ion,3.5e-09,kilogram,air::non-urban air or from high stacks,biosphere
"kerosene, aircraft",MJ,Lead II,4.24e-07,kilogram,air::lower stratosphere + upper troposphere,biosphere
"kerosene, aircraft",MJ,Lead II,4.11e-08,kilogram,air::non-urban air or from high stacks,biosphere
"kerosene, aircraft",MJ,Mercury II,1.48e-12,kilogram,air::lower stratosphere + upper troposphere,biosphere
"kerosene, aircraft",MJ,Mercury II,1.44e-13,kilogram,air::non-urban air or from high stacks,biosphere
"kerosene, aircraft",MJ,"NMVOC, non-methane volatile organic compounds",4.93e-06,kilogram,air::lower stratosphere + upper troposphere,biosphere
"kerosene, aircraft",MJ,"NMVOC, non-methane volatile organic compounds",4.78e-07,kilogram,air::non-urban air or from high stacks,biosphere
"kerosene, aircraft",MJ,Nickel II,1.48e-09,kilogram,air::lower stratosphere + upper troposphere,biosphere
"kerosene, aircraft",MJ,Nickel II,1.44e-10,kilogram,air::non-urban air or from high stacks,biosphere
"kerosene, aircraft",MJ,Nitrogen oxides,0.000300067,kilogram,air::lower stratosphere + upper troposphere,biosphere
"kerosene, aircraft",MJ,Nitrogen oxides,2.91e-05,kilogram,air::non-urban air or from high stacks,biosphere
"kerosene, aircraft",MJ,"Particulate Matter, < 2.5 um",3.9e-06,kilogram,air::lower stratosphere + upper troposphere,biosphere
"kerosene, aircraft",MJ,"Particulate Matter, < 2.5 um",3.78e-07,kilogram,air::non-urban air or from high stacks,biosphere
"kerosene, aircraft",MJ,Selenium IV,2.12e-10,kilogram,air::lower stratosphere + upper troposphere,biosphere
"kerosene, aircraft",MJ,Selenium IV,2.06e-11,kilogram,air::non-urban air or from high stacks,biosphere
"kerosene, aircraft",MJ,Sulfur dioxide,1.78e-05,kilogram,air::lower stratosphere + upper troposphere,biosphere
"kerosene, aircraft",MJ,Sulfur dioxide,1.73e-06,kilogram,air::non-urban air or from high stacks,biosphere
"kerosene, aircraft",MJ,Water,1.62e-07,cubic meter,air::lower stratosphere + upper troposphere,biosphere
