name,categories,amount,code,ecoinvent name
Hydrogen,air,6.873475806739854e-05,b301fa9a-ba60-4eac-8ccc-6ccbdf099b35,"hydrogen production, gaseous, 25 bar, from thermochemical water splitting, at solar tower"
Water,air::non-urban air or from high stacks,0.0001235555555555,09872080-d143-4fb1-a3a5-647b077107ff,"hydrogen production, gaseous, 30 bar, from hard coal gasification and reforming, at coal gasification plant"
Nitrogen oxides,air::non-urban air or from high stacks,4.285714285714278e-05,77357947-ccc5-438e-9996-95e65e1e1bce,"hydrogen production, gaseous, 30 bar, from hard coal gasification and reforming, at coal gasification plant"
Hydrogen,air,6.873475806739854e-05,b301fa9a-ba60-4eac-8ccc-6ccbdf099b35,"hydrogen production, gaseous, 30 bar, from hard coal gasification and reforming, at coal gasification plant"
Water,air::non-urban air or from high stacks,0.0001235555555555,09872080-d143-4fb1-a3a5-647b077107ff,"hydrogen production, gaseous, 30 bar, from hard coal gasification and reforming, with CCS, at coal gasification plant"
Nitrogen oxides,air::non-urban air or from high stacks,4.285714285714278e-05,77357947-ccc5-438e-9996-95e65e1e1bce,"hydrogen production, gaseous, 30 bar, from hard coal gasification and reforming, with CCS, at coal gasification plant"
Hydrogen,air,6.873475806739854e-05,b301fa9a-ba60-4eac-8ccc-6ccbdf099b35,"hydrogen production, gaseous, 30 bar, from hard coal gasification and reforming, with CCS, at coal gasification plant"
Water,air::non-urban air or from high stacks,0.0001235555555555,09872080-d143-4fb1-a3a5-647b077107ff,"hydrogen production, gaseous, 30 bar, from PEM electrolysis, from grid electricity"
Nitrogen oxides,air::non-urban air or from high stacks,4.285714285714278e-05,77357947-ccc5-438e-9996-95e65e1e1bce,"hydrogen production, gaseous, 30 bar, from PEM electrolysis, from grid electricity"
Hydrogen,air,6.873475806739854e-05,b301fa9a-ba60-4eac-8ccc-6ccbdf099b35,"hydrogen production, gaseous, 30 bar, from PEM electrolysis, from grid electricity"
